Greenhouse gas;Formula;Lifetime;Unit;RE (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP 100(W m-2 yr kg-1);GWP100;Lifetime(years);mass to ppb factor (ppb/kg) (based on AGWP20);mass to ppb factor (ppb/kg) (based on AGWP100);Best estimate (mass to ppb)
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol;CF3(CF2)8CH2CH2OH;20;days;0.05;1.72E-14;1;1.72E-14;0;0.054794521;6.278E-12;6.278E-12;6.278E-12
2-Chloro-1,1,2-trifluoro-1-methoxyethane;CH3OCF2CHFCl;1.4;years;0.21;1.12E-11;449;1.12E-11;122;1.4;3.80953E-11;3.80952E-11;3.80952E-11
PFPMIE(perfluoropolymethylisopropyl ether);CF3OCF(CF3)CF2OCF2OCF3;800;years;0.65;1.87E-10;7500;8.9E-10;9710;800;1.45652E-11;1.45659E-11;1.45655E-11
HFE-216;CF3OCF=CF2;8.4;days;0.02;1.92E-14;1;1.92E-14;0;0.023013699;4.17143E-11;4.17143E-11;4.17143E-11
Trifluoromethylformate;HCOOCF3;3.5;years;0.31;5.37E-11;2150;5.39E-11;588;3.5;4.96569E-11;4.96774E-11;4.96672E-11
Perfluoroethylformate;HCOOCF2CF3;3.5;years;0.44;5.3E-11;2130;5.32E-11;580;3.5;3.45295E-11;3.45455E-11;3.45375E-11
Perfluoropropylformate;HCOOCF2CF2CF3;2.6;years;0.5;3.45E-11;1380;3.45E-11;376;2.6;2.65506E-11;2.65385E-11;2.65445E-11
Perfluorobutylformate;HCOOCF2CF2CF2CF3;3;years;0.56;3.59E-11;1440;3.59E-11;392;3;2.13963E-11;2.1369E-11;2.13827E-11
2,2,2-Trifluoroethylformate;HCOOCH2CF3;0.4;years;0.16;3.07E-12;123;3.07E-12;33;0.4;4.79688E-11;4.79688E-11;4.79688E-11
3,3,3-Trifluoropropylformate;HCOOCH2CH2CF3;0.3;years;0.13;1.6E-12;64;1.6E-12;17;0.3;4.10256E-11;4.10256E-11;4.10256E-11
1,2,2,2-Tetrafluoroethylformate;HCOOCHFCF3;3.2;years;0.35;4.3E-11;1720;4.31E-11;470;3.2;3.84671E-11;3.84821E-11;3.84746E-11
1,1,1,3,3,3-Hexafluoropropan-2-ylformate;HCOOCH(CF3)2;3.2;years;0.33;3.05E-11;1220;3.05E-11;333;3.2;2.89384E-11;2.88826E-11;2.89105E-11
Perfluorobutylacetate;CH3COOCF2CF2CF2CF3;21.9;days;0.12;1.52E-13;6;1.52E-13;2;0.06;2.11111E-11;2.11111E-11;2.11111E-11
Perfluoropropylacetate;CH3COOCF2CF2CF3;21.9;days;0.11;1.59E-13;6;1.59E-13;2;0.06;2.40909E-11;2.40909E-11;2.40909E-11
Perfluoroethylacetate;CH3COOCF2CF3;21.9;days;0.1;1.89E-13;8;1.89E-13;2;0.06;3.15E-11;3.15E-11;3.15E-11
Trifluoromethylacetate;CH3COOCF3;21.9;days;0.07;1.9E-13;8;1.9E-13;2;0.06;4.52381E-11;4.52381E-11;4.52381E-11
Methylcarbonofluoridate;FCOOCH3;1.8;years;0.07;8.74E-12;350;8.74E-12;95;1.8;6.93661E-11;6.93651E-11;6.93656E-11
1,1-Difluoroethylcarbonofluoridate;FCOOCF2CH3;0.3;years;0.17;2.46E-12;99;2.46E-12;27;0.3;4.82353E-11;4.82353E-11;4.82353E-11
1,1-Difluoroethyl2,2,2-trifluoroacetate;CF3COOCF2CH3;0.3;years;0.27;2.83E-12;113;2.83E-12;31;0.3;3.49383E-11;3.49383E-11;3.49383E-11
Ethyl 2,2,2-trifluoroacetate;CF3COOCH2CH3;21.9;days;0.05;1.26E-13;5;1.26E-13;1;0.06;4.2E-11;4.2E-11;4.2E-11
2,2,2-Trifluoroethyl2,2,2-trifluoroacetate;CF3COOCH2CF3;54.8;days;0.15;6.27E-13;25;6.27E-13;7;0.150136986;2.78412E-11;2.78412E-11;2.78412E-11
Methyl 2,2,2-trifluoroacetate;CF3COOCH3;0.6;years;0.18;4.8E-12;192;4.8E-12;52;0.6;4.44444E-11;4.44444E-11;4.44444E-11
Methyl 2,2-difluoroacetate;HCF2COOCH3;40.1;days;0.05;3E-13;12;3E-13;3;0.109863014;5.46135E-11;5.46135E-11;5.46135E-11
Difluoromethyl 2,2,2-trifluoroacetate;CF3COOCHF2;0.3;years;0.24;2.48E-12;99;2.48E-12;27;0.3;3.44444E-11;3.44444E-11;3.44444E-11
2,2,3,3,4,4,4-Heptafluorobutan-1-ol;C3F7CH2OH;0.6;years;0.2;3.1E-12;124;3.1E-12;34;0.6;2.58333E-11;2.58333E-11;2.58333E-11
1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane;CHF2CHFOCF3;9.8;years;0.35;9.91E-11;3970;1.14E-10;1240;9.8;3.32064E-11;3.32374E-11;3.32219E-11
1-Ethoxy-1,1,2,3,3,3-hexafluoropropane;CF3CHFCF2OCH2CH3;0.4;years;0.19;2.14E-12;86;2.14E-12;23;0.4;2.81579E-11;2.81579E-11;2.81579E-11
1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane;CF3CF2CF2OCHFCF3;67;years;0.58;1.98E-10;7940;5.95E-10;6490;67;1.97431E-11;1.97516E-11;1.97473E-11
2,2,3,3-Tetrafluoro-1-propanol;CHF2CF2CH2OH;91.2;days;0.11;1.19E-12;48;1.19E-12;13;0.249863014;4.32965E-11;4.32965E-11;4.32965E-11
2,2,3,4,4,4-Hexafluoro-1-butanol;CF3CHFCF2CH2OH;94.9;days;0.19;1.56E-12;63;1.56E-12;17;0.26;3.15789E-11;3.15789E-11;3.15789E-11
2,2,3,3,4,4,4-Heptafluoro-1-butanol;CF3CF2CF2CH2OH;0.3;years;0.16;1.49E-12;60;1.49E-12;16;0.3;3.10417E-11;3.10417E-11;3.10417E-11
1,1,2,2-Tetrafluoro-3-methoxy-propane;CHF2CF2CH2OCH3;14.2;days;0.03;4.82E-14;2;4.82E-14;1;0.03890411;4.12981E-11;4.12981E-11;4.12981E-11
perfluoro-2-methyl-3-pentanone;CF3CF2C(O)CF(CF3)2;7;days;0.03;9.14E-15;0;9.14E-15;0;0.019178082;1.58862E-11;1.58862E-11;1.58862E-11
3,3,3-Trifluoropropanal;CF3CH2CHO;2;days;0.004;9.86E-16;0;9.86E-16;0;0.005479452;4.49863E-11;4.49863E-11;4.49863E-11
2-Fluoroethanol;CH2FCH2OH;20.4;days;0.02;8.07E-14;3;8.07E-14;1;0.055890411;7.21949E-11;7.21949E-11;7.21949E-11
2,2-Difluoroethanol;CHF2CH2OH;40;days;0.04;2.78E-13;11;2.78E-13;3;0.109589041;6.34188E-11;6.34188E-11;6.34188E-11
2,2,2-Trifluoroethanol;CF3CH2OH;0.3;years;0.1;1.83E-12;73;1.83E-12;20;0.3;6.1E-11;6.1E-11;6.1E-11
1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane;HCF2O(CF2CF2O)2CF2H;26;years;1.15;2.47E-10;9910;4.51E-10;4920;26;1.5394E-11;1.54129E-11;1.54034E-11
1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane;HCF2O(CF2CF2O)3CF2H;26;years;1.43;2.26E-10;9050;4.12E-10;4490;26;1.13272E-11;1.13231E-11;1.13252E-11
1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane;HCF2O(CF2CF2O)4CF2H;26;years;1.46;1.83E-10;7320;3.33E-10;3630;26;8.98358E-12;8.96388E-12;8.97373E-12
